id,question,generated,reference,retrieved_context,answerable,rouge1,rouge2,rougeL,exact_match,bertscore_P,bertscore_R,bertscore_F1,faith_score,hallucinated,src_faith,src_halluc
10,Who ruled the duchy of Normandy,unanswerable,Richard I,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",True,0.0,0.0,0.0,0,0.2782716,0.2868849,0.28251263,0.011631377041339874,True,0.006681795231997967,True
11,What religion were the Normans,Christian,Catholic,"[Passage 1]
History of religion

[Passage 2]
History of religion

[Passage 3]
History of religion

[Passage 4]
History of religion

[Passage 5]
History of religion",True,0.0,0.0,0.0,0,0.7867634,0.7867634,0.7867634,0.3921681046485901,False,0.0009652221924625337,True
12,What type of major impact did the Norman dynasty have on modern Europe?,unanswerable,unanswerable,"[Passage 1]
History of Europe

[Passage 2]
History of Europe

[Passage 3]
History of Europe

[Passage 4]
History of Europe

[Passage 5]
History of Europe",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.006155060604214668,True
13,Who was famed for their Christian spirit?,unanswerable,unanswerable,"[Passage 1]
History of Christianity

[Passage 2]
History of Christianity

[Passage 3]
History of Christianity

[Passage 4]
History of Christianity

[Passage 5]
History of Christianity",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.006472770124673843,True
14,Who assimilted the Roman language?,unanswerable,unanswerable,"[Passage 1]
Latin

[Passage 2]
Latin

[Passage 3]
Latin

[Passage 4]
Latin

[Passage 5]
Latin",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.00582438288256526,True
15,Who ruled the country of Normandy?,unanswerable,unanswerable,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.006681795231997967,True
16,What principality did William the conquerer found?,unanswerable,unanswerable,"[Passage 1]
William the Conqueror

[Passage 2]
William the Conqueror

[Passage 3]
William the Conqueror

[Passage 4]
William the Conqueror

[Passage 5]
William the Conqueror",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.012081890366971493,True
17,What is the original meaning of the word Norman?,unanswerable,Viking,"[Passage 1]
Old English

[Passage 2]
Old English

[Passage 3]
Old English

[Passage 4]
Old English

[Passage 5]
Old English",True,0.0,0.0,0.0,0,0.41511613,0.47419024,0.44269112,0.003908841870725155,True,0.013153215870261192,True
18,When was the Latin version of the word Norman first recorded?,unanswerable,9th century,"[Passage 1]
Pig Latin

[Passage 2]
Pig Latin

[Passage 3]
Pig Latin

[Passage 4]
Pig Latin

[Passage 5]
Pig Latin",True,0.0,0.0,0.0,0,0.29463866,0.4585713,0.3587654,0.0010972879827022552,True,0.007875301875174046,True
19,What name comes from the English words Normans/Normanz?,Normans,unanswerable,"[Passage 1]
Anglo-Saxons

[Passage 2]
Anglo-Saxons

[Passage 3]
Anglo-Saxons

[Passage 4]
Anglo-Saxons

[Passage 5]
Anglo-Saxons",False,0.0,0.0,0.0,0,0.3542567,0.33399966,0.34383005,0.007871202193200588,True,0.0007281397120095789,True
20,When was the French version of the word Norman first recorded?,unanswerable,unanswerable,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.006681795231997967,True
21,When was the Duchy of Normandy founded?,unanswerable,911,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",True,0.0,0.0,0.0,0,0.31407952,0.32697457,0.32039735,0.004755496047437191,True,0.006681795231997967,True
22,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,Rollo,King Charles III,"[Passage 1]
Treaty

[Passage 2]
Treaty

[Passage 3]
Treaty

[Passage 4]
Treaty of Verdun

[Passage 5]
Treaty of Verdun",True,0.0,0.0,0.0,0,0.51110244,0.4654175,0.48719135,0.014623316936194897,True,0.10442163050174713,True
23,What river originally bounded the Duchy,unanswerable,Seine,"[Passage 1]
Principality of Sealand

[Passage 2]
Principality of Sealand

[Passage 3]
Principality of Sealand

[Passage 4]
Principality of Sealand

[Passage 5]
Principality of Sealand",True,0.0,0.0,0.0,0,0.36360416,0.39897096,0.3804674,0.013927406631410122,True,0.008969827555119991,True
24,when did Nors encampments ivolve into destructive incursions?,unanswerable,unanswerable,"[Passage 1]
Norns

[Passage 2]
Norns

[Passage 3]
Norns

[Passage 4]
Norns

[Passage 5]
Norns",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.005538958124816418,True
25,What treaty was established in the 9th century?,unanswerable,unanswerable,"[Passage 1]
9th century

[Passage 2]
9th century

[Passage 3]
9th century

[Passage 4]
9th century

[Passage 5]
9th century",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.009753282181918621,True
26,Who established a treaty with King Charles the third of France?,King Charles the third of France,unanswerable,"[Passage 1]
Treaty

[Passage 2]
Treaty

[Passage 3]
Treaty

[Passage 4]
Treaty

[Passage 5]
Treaty",False,0.0,0.0,0.0,0,0.4073716,0.24909294,0.30915114,0.007449796423316002,True,0.00029347356758080423,True
27,What did the French promises to protect Rollo and his men from?,unanswerable,unanswerable,"[Passage 1]
French Revolution

[Passage 2]
French Revolution

[Passage 3]
French Revolution

[Passage 4]
French Revolution

[Passage 5]
French Revolution",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.005488045047968626,True
28,Who upon arriving gave the original viking settlers a common identity?,Icelandic law-abiding Vikings,Rollo,"[Passage 1]
Vikings

[Passage 2]
Vikings

[Passage 3]
Vikings

[Passage 4]
Vikings

[Passage 5]
Vikings",True,0.0,0.0,0.0,0,0.41136754,0.40697867,0.40916133,0.07577577233314514,True,0.06345253437757492,True
29,When did Rollo begin to arrive in Normandy?,unanswerable,unanswerable,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.006681795231997967,True
30,What Viking groups were conquered by Rollo?,unanswerable,unanswerable,"[Passage 1]
Vikings

[Passage 2]
Vikings

[Passage 3]
Vikings

[Passage 4]
Vikings

[Passage 5]
Vikings",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.007578291930258274,True
31,What was the Norman religion?,Catholics,Catholicism,"[Passage 1]
History of religion

[Passage 2]
History of religion

[Passage 3]
History of religion

[Passage 4]
History of religion

[Passage 5]
History of religion",True,0.0,0.0,0.0,0,0.62213945,0.61727244,0.61969644,0.9556400179862976,False,0.0007614516653120518,True
32,What part of France were the Normans located?,unanswerable,north,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",True,0.0,0.0,0.0,0,0.3036762,0.32757732,0.31517428,0.019034363329410553,True,0.006681795231997967,True
33,What was replace with the Norse religion?,Christianity,unanswerable,"[Passage 1]
Old Norse

[Passage 2]
Old Norse

[Passage 3]
Old Norse

[Passage 4]
Old Norse

[Passage 5]
Old Norse",False,0.0,0.0,0.0,0,0.5417856,0.330132,0.4102699,0.0015272998716682196,True,0.011694928631186485,True
34,What did maternal Old Norse traditions merge with?,unanswerable,unanswerable,"[Passage 1]
Old Norse

[Passage 2]
Old Norse

[Passage 3]
Old Norse

[Passage 4]
Old Norse

[Passage 5]
Old Norse",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.007224567234516144,True
35,What language replaced the Gallo-Romance language?,unanswerable,unanswerable,"[Passage 1]
Romance languages

[Passage 2]
Romance languages

[Passage 3]
Romance languages

[Passage 4]
Romance languages

[Passage 5]
Romance languages",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.0039197951555252075,True
36,What was one of the Norman's major exports?,unanswerable,fighting horsemen,"[Passage 1]
Trade

[Passage 2]
Trade

[Passage 3]
Trade

[Passage 4]
Trade

[Passage 5]
Trade",True,0.0,0.0,0.0,0,0.34556314,0.326279,0.3356443,0.005226134322583675,True,0.001745504210703075,True
37,Who adopted the fuedel doctrines of the Normans?,unanswerable,unanswerable,"[Passage 1]
William the Conqueror

[Passage 2]
William the Conqueror

[Passage 3]
William the Conqueror

[Passage 4]
William the Conqueror

[Passage 5]
William the Conqueror",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.012081890366971493,True
38,What was one of the Norman's major imports?,unanswerable,unanswerable,"[Passage 1]
Medieval fortification

[Passage 2]
Medieval fortification

[Passage 3]
Medieval fortification

[Passage 4]
Medieval fortification

[Passage 5]
Medieval fortification",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.006077863741666079,True
39,Who's arristocracy eventually served as avid Crusaders?,unanswerable,unanswerable,"[Passage 1]
Knights Templar

[Passage 2]
Knights Templar

[Passage 3]
Knights Templar

[Passage 4]
Knights Templar

[Passage 5]
Knights Templar",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.003063642419874668,True
40,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",unanswerable,Seljuk Turks,"[Passage 1]
Cyril of Alexandria

[Passage 2]
Cyril of Alexandria

[Passage 3]
Cyril of Alexandria

[Passage 4]
Cyril of Alexandria

[Passage 5]
Cyril of Alexandria",True,0.0,0.0,0.0,0,0.3443163,0.34705037,0.34567794,0.005697545595467091,True,0.014581537805497646,True
41,Who entered Italy soon after the Byzantine Empire?,unanswerable,unanswerable,"[Passage 1]
Byzantium

[Passage 2]
Byzantium

[Passage 3]
Byzantium

[Passage 4]
Byzantium

[Passage 5]
Byzantium",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.004002242814749479,True
42,Who did the Normans fight in Italy?,unanswerable,unanswerable,"[Passage 1]
Vikings

[Passage 2]
Vikings

[Passage 3]
Vikings

[Passage 4]
Vikings

[Passage 5]
Vikings",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.007578291930258274,True
43,Who did the Normans encourage to come to the south?,unanswerable,unanswerable,"[Passage 1]
History of St Albans

[Passage 2]
History of St Albans

[Passage 3]
History of St Albans

[Passage 4]
History of St Albans

[Passage 5]
History of St Albans",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.003791910596191883,True
44,During what campaign did the Vargian and Lombard fight?,unanswerable,unanswerable,"[Passage 1]
Lombards

[Passage 2]
Lombards

[Passage 3]
Lombards

[Passage 4]
Lombards

[Passage 5]
Lombards",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.004439909476786852,True
45,When did Herve serve as a Byzantine general?,unanswerable,1050s,"[Passage 1]
Byzantium

[Passage 2]
Byzantium

[Passage 3]
Byzantium

[Passage 4]
Byzantium

[Passage 5]
Byzantium",True,0.0,0.0,0.0,0,0.3209355,0.30920964,0.31496346,0.008872995153069496,True,0.004002242814749479,True
46,When did Robert Crispin go up against the Turks?,unanswerable,1060s,"[Passage 1]
Saladin

[Passage 2]
Saladin

[Passage 3]
Saladin

[Passage 4]
Saladin

[Passage 5]
Saladin",True,0.0,0.0,0.0,0,0.32030547,0.30766922,0.3138602,0.03930520638823509,True,0.005602392368018627,True
47,Who ruined Roussel de Bailleul's plans for an independent state?,unanswerable,Alexius Komnenos,"[Passage 1]
French Revolution

[Passage 2]
French Revolution

[Passage 3]
French Revolution

[Passage 4]
French Revolution

[Passage 5]
French Revolution",True,0.0,0.0,0.0,0,0.33465093,0.3954141,0.3625039,0.00030969129875302315,True,0.005488045047968626,True
48,Who was the first Byzantine mercenary to serve with the Normans?,unanswerable,unanswerable,"[Passage 1]
William the Conqueror

[Passage 2]
William the Conqueror

[Passage 3]
William the Conqueror

[Passage 4]
William the Conqueror

[Passage 5]
William the Conqueror",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.012081890366971493,True
49,When did Herve serve as a Norman general?,unanswerable,unanswerable,"[Passage 1]
Hergé

[Passage 2]
Hergé

[Passage 3]
Hergé

[Passage 4]
Hergé

[Passage 5]
Hergé",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.005787183530628681,True
50,Who ruined Alexius Komnenos plans for an independent state?,unanswerable,unanswerable,"[Passage 1]
Alexios I Komnenos

[Passage 2]
Alexios I Komnenos

[Passage 3]
Alexios I Komnenos

[Passage 4]
Alexios I Komnenos

[Passage 5]
Alexios I Komnenos",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.0028402034658938646,True
51,When did Herve go up against the Turks?,unanswerable,unanswerable,"[Passage 1]
Ottoman Empire

[Passage 2]
Ottoman Empire

[Passage 3]
Ottoman Empire

[Passage 4]
Ottoman Empire

[Passage 5]
Ottoman Empire",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.004322959575802088,True
52,What was the name of the Norman castle?,unanswerable,Afranji,"[Passage 1]
Medieval fortification

[Passage 2]
Medieval fortification

[Passage 3]
Medieval fortification

[Passage 4]
Medieval fortification

[Passage 5]
Medieval fortification",True,0.0,0.0,0.0,0,0.39042997,0.42591777,0.40740252,0.0009349522297270596,True,0.006077863741666079,True
53,Who was the leader when the Franks entered the Euphrates valley?,unanswerable,Oursel,"[Passage 1]
Euphrates

[Passage 2]
Euphrates

[Passage 3]
Euphrates

[Passage 4]
Euphrates

[Passage 5]
Euphrates",True,0.0,0.0,0.0,0,0.33593383,0.3820787,0.35752344,0.5223297476768494,False,0.0023748644161969423,True
54,Who did the Normans team up with in Anatolia?,unanswerable,Turkish forces,"[Passage 1]
Anatolia

[Passage 2]
Anatolia

[Passage 3]
Anatolia

[Passage 4]
Anatolia

[Passage 5]
Anatolia",True,0.0,0.0,0.0,0,0.31067824,0.3408891,0.3250833,0.005902343429625034,True,0.004136636853218079,True
55,Who joined Norman forces in the destruction of the Armenians?,unanswerable,unanswerable,"[Passage 1]
Vikings

[Passage 2]
Vikings

[Passage 3]
Vikings

[Passage 4]
Vikings

[Passage 5]
Vikings",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.007578291930258274,True
56,Who did the Turks take up service with?,unanswerable,unanswerable,"[Passage 1]
Ottoman Turks

[Passage 2]
Ottoman Turks

[Passage 3]
Ottoman Turks

[Passage 4]
Ottoman Turks

[Passage 5]
Ottoman Turks",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.004059703089296818,True
57,What Frank led Norman forces?,unanswerable,unanswerable,"[Passage 1]
Medieval warfare

[Passage 2]
Medieval warfare

[Passage 3]
Medieval warfare

[Passage 4]
Medieval warfare

[Passage 5]
Medieval warfare",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.0013644880382344127,True
58,Where did Oursel lead the Franks?,unanswerable,unanswerable,"[Passage 1]
Charlemagne

[Passage 2]
Charlemagne

[Passage 3]
Charlemagne

[Passage 4]
Charlemagne

[Passage 5]
Charlemagne",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.014810513705015182,True
59,What were the origins of the Raouliii family?,unanswerable,Norman mercenary,"[Passage 1]
Colonna family

[Passage 2]
Colonna family

[Passage 3]
Colonna family

[Passage 4]
Colonna family

[Passage 5]
Colonna family",True,0.0,0.0,0.0,0,0.36798048,0.36346394,0.36570826,0.014136646874248981,True,0.005524416454136372,True
60,Where were several Norman mercenary familes originate from?,unanswerable,unanswerable,"[Passage 1]
Vikings

[Passage 2]
History of Burgundy

[Passage 3]
History of Burgundy

[Passage 4]
History of Burgundy

[Passage 5]
History of Burgundy",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.012801362201571465,True
61,Who did the Normans serve under in the 10th century?,unanswerable,unanswerable,"[Passage 1]
10th century

[Passage 2]
10th century

[Passage 3]
11th century

[Passage 4]
11th century

[Passage 5]
11th century",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.009944130666553974,True
62,What expedition did George Maniaces lead in the 10th century?,unanswerable,unanswerable,"[Passage 1]
10th century

[Passage 2]
10th century

[Passage 3]
11th century

[Passage 4]
9th century

[Passage 5]
9th century",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.013210849836468697,True
63,What was the name of the count of Apulia ,unanswerable,Robert Guiscard,"[Passage 1]
Apuleius

[Passage 2]
Apuleius

[Passage 3]
Apuleius

[Passage 4]
Apuleius

[Passage 5]
Apuleius",True,0.0,0.0,0.0,0,0.33566368,0.47156742,0.39217535,0.0009218804189004004,True,0.01421144139021635,True
64,When did Dyrrachium  fall to the Normans?,unanswerable,1082,"[Passage 1]
Kingdom of Northumbria

[Passage 2]
Kingdom of Northumbria

[Passage 3]
Kingdom of Northumbria

[Passage 4]
Kingdom of Northumbria

[Passage 5]
Kingdom of Northumbria",True,0.0,0.0,0.0,0,0.35430562,0.39607126,0.3740261,0.0074498155154287815,True,0.010334326885640621,True
65,How many men were in Robert's army?,unanswerable,"30,000","[Passage 1]
Robert the Bruce

[Passage 2]
Robert the Bruce

[Passage 3]
Robert the Bruce

[Passage 4]
Robert the Bruce

[Passage 5]
Robert the Bruce",True,0.0,0.0,0.0,0,0.36813816,0.54600036,0.43976608,0.00028283600113354623,True,0.022109828889369965,True
66,Who ultimatly drove the Byzantines out of Europe?,unanswerable,unanswerable,"[Passage 1]
Byzantium

[Passage 2]
Byzantium

[Passage 3]
Byzantium

[Passage 4]
Byzantium

[Passage 5]
Byzantium",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.004002242814749479,True
67,What pope opposed Roberts campaign?,unanswerable,unanswerable,"[Passage 1]
Antipope Boniface VII

[Passage 2]
Antipope Boniface VII

[Passage 3]
Antipope Boniface VII

[Passage 4]
Antipope Boniface VII

[Passage 5]
Antipope Boniface VII",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.018494943156838417,True
68,What fell to the Normans in the 10th century?,unanswerable,unanswerable,"[Passage 1]
10th century

[Passage 2]
10th century

[Passage 3]
11th century

[Passage 4]
9th century

[Passage 5]
9th century",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.013210849836468697,True
69,How many men did Roberts army face?,unanswerable,unanswerable,"[Passage 1]
Militia

[Passage 2]
Militia

[Passage 3]
Militia

[Passage 4]
Militia

[Passage 5]
Militia",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.002260090783238411,True
70,Where did the Normans and Byzantines sign the peace treaty?,unanswerable,Deabolis,"[Passage 1]
Treaty

[Passage 2]
Peace of Westphalia

[Passage 3]
Peace of Westphalia

[Passage 4]
Peace of Westphalia

[Passage 5]
Peace of Westphalia",True,0.0,0.0,0.0,0,0.39622417,0.3936875,0.39495176,0.03886586055159569,True,0.003990595228970051,True
71,Who was Robert's son?,unanswerable,Bohemond,"[Passage 1]
Robert the Bruce

[Passage 2]
Robert the Bruce

[Passage 3]
Robert the Bruce

[Passage 4]
Robert the Bruce

[Passage 5]
Robert the Bruce",True,0.0,0.0,0.0,0,0.40740535,0.43363085,0.4201092,0.0016957784537225962,True,0.022109828889369965,True
72,What river was Petrela located by?,unanswerable,Deabolis,"[Passage 1]
Amazon River

[Passage 2]
Amazon River

[Passage 3]
Amazon River

[Passage 4]
Amazon River

[Passage 5]
Amazon River",True,0.0,0.0,0.0,0,0.39622417,0.3936875,0.39495176,0.03886586055159569,True,0.008502822369337082,True
73,Who did the Normans besiege in the 11th century?,unanswerable,unanswerable,"[Passage 1]
11th century

[Passage 2]
11th century

[Passage 3]
11th century

[Passage 4]
11th century

[Passage 5]
11th century",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.008511114865541458,True
74,Who did Robert lead agains Dyrrachium in 1107?,unanswerable,unanswerable,"[Passage 1]
Robert the Bruce

[Passage 2]
Robert the Bruce

[Passage 3]
Robert the Bruce

[Passage 4]
Robert the Bruce

[Passage 5]
Robert the Bruce",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.022109828889369965,True
75,Who was Bohemond's son?,unanswerable,unanswerable,"[Passage 1]
Son of God

[Passage 2]
Son of God

[Passage 3]
Son of God

[Passage 4]
Son of God

[Passage 5]
Son of God",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.016046985983848572,True
76,When did the Normans attack Dyrrachium?,unanswerable,1185,"[Passage 1]
Kingdom of Northumbria

[Passage 2]
Kingdom of Northumbria

[Passage 3]
Kingdom of Northumbria

[Passage 4]
Kingdom of Northumbria

[Passage 5]
Kingdom of Northumbria",True,0.0,0.0,0.0,0,0.34525374,0.3875113,0.36516404,0.010087208822369576,True,0.010334326885640621,True
77,What was the naval base called?,Guantanamo Bay Naval Base,Dyrrachium,"[Passage 1]
Guantanamo Bay Naval Base

[Passage 2]
Guantanamo Bay Naval Base

[Passage 3]
Guantanamo Bay Naval Base

[Passage 4]
Guantanamo Bay Naval Base

[Passage 5]
Guantanamo Bay Naval Base",True,0.0,0.0,0.0,0,0.49249172,0.55082816,0.520029,0.025404885411262512,True,0.8555563688278198,False
78,Where was Dyrrachium located?,unanswerable,the Adriatic,"[Passage 1]
Bohrium

[Passage 2]
Bohrium

[Passage 3]
Bohrium

[Passage 4]
Bohrium

[Passage 5]
Bohrium",True,0.0,0.0,0.0,0,0.39526397,0.45408237,0.42263654,0.0005279285833239555,True,0.004821458365768194,True
79,Who attacked Dyrrachium in the 11th century?,unanswerable,unanswerable,"[Passage 1]
11th century

[Passage 2]
11th century

[Passage 3]
11th century

[Passage 4]
11th century

[Passage 5]
11th century",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.008511114865541458,True
80,Who betrayed the Normans?,unanswerable,unanswerable,"[Passage 1]
William the Conqueror

[Passage 2]
William the Conqueror

[Passage 3]
William the Conqueror

[Passage 4]
William the Conqueror

[Passage 5]
William the Conqueror",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.012081890366971493,True
81,What naval base fell to the Normans?,unanswerable,unanswerable,"[Passage 1]
Medieval fortification

[Passage 2]
Medieval fortification

[Passage 3]
Medieval fortification

[Passage 4]
Medieval fortification

[Passage 5]
Medieval fortification",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.006077863741666079,True
82,Who did Emma Marry?,unanswerable,King Ethelred II,"[Passage 1]
The Marriage of Figaro

[Passage 2]
The Marriage of Figaro

[Passage 3]
The Marriage of Figaro

[Passage 4]
The Marriage of Figaro

[Passage 5]
The Marriage of Figaro",True,0.0,0.0,0.0,0,0.26521266,0.37092367,0.30928484,0.0036642306949943304,True,0.01700570620596409,True
83,Who was Emma's brother?,unanswerable,Duke Richard II,"[Passage 1]
Emma Abbott

[Passage 2]
Emma Abbott

[Passage 3]
Emma Abbott

[Passage 4]
Emma Abbott

[Passage 5]
Emma Abbott",True,0.0,0.0,0.0,0,0.36430895,0.33994246,0.35170418,0.007633178494870663,True,0.017645463347434998,True
84,To where did Ethelred flee?,Iceland,Normandy,"[Passage 1]
Exile

[Passage 2]
Exile

[Passage 3]
Exile

[Passage 4]
Exile

[Passage 5]
Exile",True,0.0,0.0,0.0,0,0.5569007,0.5569007,0.5569007,0.00029485023696906865,True,0.0018006240716204047,True
85,Who kicked Ethelred out?,unanswerable,Sweyn Forkbeard,"[Passage 1]
Disbarment

[Passage 2]
Disbarment

[Passage 3]
Disbarment

[Passage 4]
Disbarment

[Passage 5]
Disbarment",True,0.0,0.0,0.0,0,0.33312237,0.32435465,0.32868004,0.0034444627817720175,True,0.001464294851757586,True
86,Who married Cnut the Great?,unanswerable,unanswerable,"[Passage 1]
Constantine the Great

[Passage 2]
Constantine the Great

[Passage 3]
Constantine the Great

[Passage 4]
Constantine the Great

[Passage 5]
Constantine the Great",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.01888630911707878,True
